fname,lname,email,segment_name,segment_id,phone
Shari,Becker,hlowe@example.org,christmas,456,(691)635-1488x2621
Natasha,Velasquez,chelsea13@example.com,christmas,,330-905-3619x68738
Erin,Robinson,joseph53@example.org,christmas,,+1-554-926-4817
Shelby,Jimenez,thomas76@example.net,,123,(514)411-7416x2529
Stacy,Lopez,kevin67@example.org,,,+1-425-307-7813
Kimberly,Ferguson,fsmith@example.com,Sports,,927.797.2671
Martin,Garcia,graymatthew@example.org,christmas,,4257291301
Hunter,Andrews,jenniferromero@example.com,christmas,123,(411)403-6293x8733
Alex,Fields,richardmurphy@example.org,,,(775)544-1136x259
Stephanie,West,rebeccawilliams@example.org,Sports,456,001-281-947-0555
